ID,Area,Feature,User Story,Expected Behavior,Source Files,Test Method,Status,Errors Found,Fix Applied,Retest Result
D1-RANK-GR,Dashboard,Population group buttons,"As a user, I want to filter rank charts by MO population category (малая/средняя/большая), so MOs are compared in their peer group.","Three buttons in #rankPopulationGroupNav. Click/Enter/Space and ArrowLeft/Right/Home/End cycle focus and selection. renderRankCharts uses filterMosByPopulationGroup. Hint shows MO count + range. Default: средняя.","src/dashboard/dashboardPhase1.js (setRankPopulationGroup, setupRankGroupNav); src/lib/moPopulationGroups.js; data/mo-population-groups.json","Vitest: tests/moPopulationGroups.test.js. Manual.",Verified,"BUG-005 (UX): switching to a group with zero MOs (e.g. ""Малая"" when no small MOs exist in this report) left the previous group's rank charts visible — misleading. BUG-008 (A11Y): role=tab elements lacked keyboard arrow navigation expected by screen readers.","Added clearRankChartsForEmptyGroup() and an empty-group hint message in updateRankGroupHint. Added keydown handler on #rankPopulationGroupNav supporting ArrowLeft, ArrowRight, Home, End to move focus and select tabs.",159 tests pass; switching groups now either renders fresh charts or clears them with a clear status note; tab keyboard nav works.
D1-RANK-TP,Dashboard,Top-5 % plan chart,,Horizontal #top5PlanChart of 5 MOs with highest % plan in filtered group. X-axis 0-150%. Data label = (fact / plan).,src/dashboard/dashboardPhase1.js (renderPlanRankCharts),Visual.,Verified,No errors found.,—,—
D1-RANK-BP,Dashboard,Antitop-5 % plan chart,,Horizontal #bottom5PlanChart of 5 lowest % plan MOs with fact>0 in filtered group.,src/dashboard/dashboardPhase1.js (renderPlanRankCharts),Visual.,Verified,No errors found.,—,—
D1-RANK-TC,Dashboard,Top-5 coverage chart,,Horizontal #top5CoverageChart of 5 MOs with highest colon/hasDev*100 in filtered group. X-axis 0-100%.,src/dashboard/dashboardPhase1.js (renderCoverageRankCharts),Visual.,Verified,No errors found.,—,—
D1-RANK-BC,Dashboard,Antitop-5 coverage chart,,Horizontal #bottom5CoverageChart of 5 MOs with lowest coverage AND hasDev>=10 in filtered group.,src/dashboard/dashboardPhase1.js (renderCoverageRankCharts),Visual.,Verified,No errors found.,—,—
D1-OUTLIER,Dashboard,High-volume / low positive outlier block,"As a user, I want to see MOs with ≥500 КнСК tests but anomalously low positive rate, so I flag potential data/process issues.","#knskOutlierPanel hidden if no items. Lists ≤5 MOs sorted by ascending positive rate that have fact≥500 and z-score ≤ -1.5. Each item: rank, name, ""на N меньше ожидаемого среднего"", КнСК/КнСК+/%, expected positives, rate bar.","src/dashboard/dashboardPhase1.js (renderKnskVolumeOutlierBlock); src/lib/moAnalytics.js (computeHighVolumeLowPositiveOutliers)","Vitest: tests/moAnalytics.test.js. Visual.",Verified,No errors found.,—,—
D1-COV,Dashboard,Coverage chart all MOs,"As a user, I want a scrollable bar chart of colon coverage % for every MO with rank labels, so I see the full ranking.","#coverageChart scrolls horizontally. Bars sorted desc by coverage. Labels ""N место\nX.X%"". Tooltip shows ""Место N из M"" + ""X.X% (колоноскопий: c из d положит.)"".","src/dashboard/dashboardPhase1.js (buildCoverageChart, paintCoverageChart)","Manual.",Verified,No errors found.,—,—
D1-TBL-CO,Dashboard,Interactive table callout,"As a user, I want a prominent hint above the table that rows are clickable, so I discover the drilldown.","Blue box .table-interactive-callout with click icon and bold ""Интерактивная таблица"" + explanation.","Index.html, Viewer.html; src/ui/phase2.css",Visual.,Verified,No errors found.,—,—
D1-TBL,Dashboard,MO summary table,"As a user, I want a sortable summary table of all MOs with key columns, so I can scan results.","#mainTable: №, МО, План, Итого, %, Динамика, Нет откл., Есть откл., Колоноск., ЗНО. Rows sorted desc by percent. Heat-class + progress bar + growth color.","src/dashboard/dashboardPhase1.js (renderTable, renderTableRows)","Visual.",Verified,No errors found.,—,—
D1-TBL-SR,Dashboard,Table search filter,"As a user, I want to filter the MO table by name, so I quickly find one MO.","#moTableSearch with 150ms debounce. Matching rows visible+clickable; others get table-row-hidden. #tableFilterHint shows ""Показано N из M МО"".","src/dashboard/dashboardPhase1.js (setupTableSearch, renderTableRows)","Manual.",Verified,No errors found.,—,—
D1-TBL-CL,Dashboard,Row click opens drawer,"As a user, I want to click an MO row to see a quick analysis drawer, so I understand the MO without leaving the page.","Click or Enter/Space on tr.mo-row-clickable → DashboardPhase2.openMoDrawer with mo + previousMo. Phase2 lazy-loaded; first click waits for init and re-fires click on the row.","src/dashboard/dashboardPhase2.js (setupTableRowClicks); src/core/bundleLoader.js (ensurePhase2Initialized); src/pages/editor.js + viewer.js (bindPhase2InteractionTriggers)","Manual.",Verified,"BUG-006 (UX): when Phase2 bundle was still loading, the first click on a row was wasted — the user had to click twice.","Editor and Viewer once+capture handlers now await ensurePhase2Initialized and re-dispatch row.click() once the delegated handler is bound (only if the row is still in the DOM).",159 tests pass; bundles rebuilt; static review confirms re-dispatch path.
D1-INFO,Dashboard,Сделано / Планы panel,"As a user, I want ""Сделано"" and ""Планы"" content displayed in a panel below the table, so the report closes with narrative.","Section .info-blocks-panel after table. Two cards with sanitized HTML content + date.","Index.html, Viewer.html",Visual.,Verified,No errors found.,—,—
DRW-01,Drawer,Open MO drawer,"As a user, I want a side drawer with MO metrics + a pie chart, so I see the MO breakdown immediately.","openMoDrawer fills 6 metric tiles with deltas vs previous report. Renders ECharts pie #moDrawerChart. Center shows total fact.","src/dashboard/dashboardPhase2.js (openMoDrawer)","Manual.",Verified,No errors found.,—,—
DRW-02,Drawer,Close MO drawer,,"X button, backdrop click, or Esc closes. closeMoDrawer removes .open, disposes chart, restores focus.","src/dashboard/dashboardPhase2.js (closeMoDrawer, setupDrawerClose)","Manual.",Verified,No errors found.,—,—
DRW-03,Drawer,Open MO Profile,"As a user, I want a deeper analysis button in the drawer, so I see the full history.","Button ""Глубокий анализ МО"" in drawer body. Click closes drawer, lazy-loads MoProfile bundle, calls MoProfile.open(mo.name).","src/dashboard/dashboardPhase2.js (openMoDrawer profileBtn handler)","Manual.",Verified,No errors found.,—,—
PRO-01,Profile,Open MO Profile modal,"As a user, I want a full-screen profile of one MO with history table + 4 charts, so I see long-term trends.","#moProfileOverlay shows loading spinner. Fetches getMoHistoryFromArchive. Renders header (name + period + matched/total reports) + rank badges + KPI strip + 4 charts + history table + ""Открыть в таблице"".","src/dashboard/moProfile.js (open, renderProfile)","Manual via GAS.",Verified,No errors found.,—,—
PRO-02,Profile,Rank badges within population group,"As a user, I want my MO's place shown within its population group, so the comparison is fair.","renderRankBadges shows ""<rank> место из <total> по % плана (<group> МО)"" and same for coverage. Uses getMoPeerPool.","src/dashboard/moProfile.js (renderRankBadges); src/lib/moPopulationGroups.js (getMoPeerPool)","Vitest: tests/moPopulationGroups.test.js.",Verified,No errors found.,—,—
PRO-03,Profile,Profile history table,,Table of all archived periods with Period/%/Δ%/Fact/ΔFact/Growth/Coverage/Colon/ZNO columns. Scrollable.,src/dashboard/moProfile.js (renderHistoryTable),Manual.,Verified,No errors found.,—,—
PRO-04,Profile,Profile charts,,"4 charts: percent line, fact line, coverage line, growth bar.","src/dashboard/moProfile.js (renderCharts)",Manual.,Verified,No errors found.,—,—
PRO-05,Profile,Scroll to MO in table,,"""Открыть в таблице"" closes profile, scrolls main table to that MO row, highlights for 3 seconds.","src/dashboard/moProfile.js (scrollToMoInTable)",Manual.,Verified,No errors found.,—,—
PRO-06,Profile,Close profile,,"X, backdrop click, or Esc → close().","src/dashboard/moProfile.js (close, showOverlay)",Manual.,Verified,No errors found.,—,—
PRES-01,Presentation,Toggle presentation mode,"As a user, I want a fullscreen presentation mode hiding controls, so I can show the dashboard to stakeholders.",".presentation-mode body class hides control-panel/text fields/period input/select panel/compare-controls. Press #presentationModeBtn or Esc to exit. Charts resize on toggle.","src/dashboard/dashboardPhase2.js (togglePresentationMode, setupPresentationToggle); src/ui/phase2.css (.presentation-mode)",Manual.,Verified,No errors found.,—,—
PRES-02,Presentation,Presentation exit button,,Floating #presentationExitBtn at top-right calls togglePresentationMode(false).,"Index.html, Viewer.html (#presentationExitBtn); src/dashboard/dashboardPhase2.js (setupPresentationToggle)",Manual.,Verified,No errors found.,—,—
A11Y-01,A11y,Focus trap in modals,"As a keyboard user, I want focus trapped inside modal dialogs, so I can navigate without tabbing into the background.","trapFocus binds keydown handler, cycles focus on Tab/Shift+Tab. focusFirst sets initial focus. restoreFocus returns to trigger.","src/lib/dialogA11y.js; openMoDrawer / openComparePanel / showOverlay (moProfile)",Manual.,Verified,No errors found.,—,—
A11Y-02,A11y,Escape closes overlays,"As a user, I want Esc to dismiss the topmost overlay, so I can quickly exit.","keydown Esc: closes moProfile, else moDrawer, else compareOverlay, else exits presentation mode.","src/dashboard/dashboardPhase2.js (setupDrawerClose)",Manual.,Verified,No errors found.,—,—
SEC-01,Security,HTML sanitization of done/plans,"As a viewer of public links, I want user-typed HTML sanitized to safe tags, so XSS is impossible.","renderHtmlContent strips <script> + non-allowed tags. Only b/strong/a/ul/li/br kept. <a href> requires http(s) or mailto. Otherwise text is escaped. Period input writes use textContent.","src/lib/sanitize.js","Vitest: tests/sanitize.test.js (10 tests).",Verified,Tightened in conjunction with BUG-003 fix: period input now uses textContent in both live editor and exported HTML.,See EDIT-05 / EDIT-11.,—
LOAD-01,Loading,Skeleton loading state,"As a user, I want skeleton placeholders during data load, so I know loading is in progress.","showLoadingState adds .dashboard-loading + .skeleton-pulse on 7 KPI ids, 3 signals skeleton lines, 8 table skeleton rows. hideLoadingState reverses.","src/dashboard/dashboardPhase1.js (showLoadingState, hideLoadingState)",Manual.,Verified,No errors found.,—,—
DEP-01,Build,Build artifacts generated,"As a developer, I want npm run build to produce all HTML artifacts, so clasp push deploys correctly.","build-gas.mjs writes UiTokens/UiPhase2/EditorStyles/ViewerStyles/UiKpiCards/UiIcons/VendorChartJs/VendorChartDataLabels/VendorEcharts/LibBundle/GASAdapter/DashboardPhase1/2/MoProfile/EditorPage/ViewerPage + Code.js.","scripts/build-gas.mjs","Run `npm run build`.",Verified,No errors found. Confirmed bundle output after fixes.,—,DashboardPhase1.html / EditorPage.html / ViewerPage.html rewritten cleanly.
DEP-02,Build,Vitest passes,"As a developer, I want all tests green before deploy, so regressions are caught.","19 test files / 159 tests. Coverage: kpi, moAnalytics, csvParser, dateUtils, archive, sanitize, moHistory, moPopulationGroups, build, etc.",tests/*,Run `npm test`.,Verified,No regressions introduced by fixes.,—,159/159 passing.
